experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Bayesian_Adaptive,12345,134,False,0,0,485.0,0,,18642.90358798129
Solver_Bayesian_Adaptive,12345,135,False,0,0,265.0,0,4.0,6550.667978556108
Solver_Bayesian_Adaptive,12345,136,False,0,0,925.0,1,6.0,13774.712764051706
Solver_Bayesian_Adaptive,12345,137,False,0,0,1005.0,1,,18273.65155673118
Solver_Bayesian_Adaptive,12345,138,False,0,0,1505.0,2,,18273.651556730892
Solver_Bayesian_Adaptive,12345,139,False,0,0,80.0,0,1.0,735.437500000316
Solver_Bayesian_Adaptive,12345,140,False,0,0,345.0,0,5.0,9484.460175430218
Solver_Bayesian_Adaptive,12345,141,True,50,50,17183.74094105521,0,,18346.422056733176
Solver_Bayesian_Adaptive,12345,142,False,0,0,165.0,0,3.0,3186.157437499727
Solver_Bayesian_Adaptive,12345,143,False,0,0,1350.0,2,6.0,14165.064795302935
Solver_Bayesian_Adaptive,12345,144,False,0,0,50.0,0,2.0,2536.8509374999603
Solver_Bayesian_Adaptive,12345,145,False,0,0,425.0,0,6.0,13774.712764052176
Solver_Bayesian_Adaptive,12345,146,False,0,0,185.0,0,3.0,3026.2434375008525
Solver_Bayesian_Adaptive,12345,147,False,0,0,185.0,0,3.0,3165.0574375011884
Solver_Bayesian_Adaptive,12345,148,True,50,50,18258.74094105521,2,,18631.26033798374
Solver_Bayesian_Adaptive,12345,149,True,50,50,17723.74094105521,1,,18468.14446298121
Solver_Bayesian_Adaptive,12345,150,False,0,0,430.0,0,,19236.67605673263
Solver_Bayesian_Adaptive,12345,151,False,0,0,370.0,0,6.0,13800.548014053998
Solver_Bayesian_Adaptive,12345,152,False,0,0,270.0,0,5.0,9874.812206679566
Solver_Bayesian_Adaptive,12345,153,False,0,0,185.0,0,3.0,3165.0574374999414
Solver_Bayesian_Adaptive,12345,154,False,0,0,105.0,0,2.0,2123.379468750291
Solver_Bayesian_Adaptive,12345,155,False,0,0,905.0,1,6.0,13795.812764054057
Solver_Bayesian_Adaptive,12345,156,False,0,0,185.0,0,3.0,3338.4503437506637
Solver_Bayesian_Adaptive,12345,157,False,0,0,105.0,0,2.0,2124.7456875006496
Solver_Bayesian_Adaptive,12345,158,False,0,0,925.0,1,6.0,13774.712764053904
Solver_Bayesian_Adaptive,12345,159,True,50,50,17203.74094105521,0,,19236.676056732085
Solver_Bayesian_Adaptive,12345,160,False,0,0,185.0,0,3.0,3165.0574375007536
Solver_Bayesian_Adaptive,12345,161,False,0,0,1005.0,1,,18273.651556730303
Solver_Bayesian_Adaptive,12345,162,True,50,50,17778.74094105521,1,,18273.651556729943
Solver_Bayesian_Adaptive,12345,163,True,50,50,17333.74094105521,0,,18252.55155673209
Solver_Bayesian_Adaptive,12345,164,True,50,50,17723.74094105521,1,,18685.756806734356
Solver_Bayesian_Adaptive,12345,165,False,0,0,190.0,0,4.0,7079.834009805909
Solver_Bayesian_Adaptive,12345,166,False,0,0,685.0,1,3.0,3165.057437500057
Solver_Bayesian_Adaptive,12345,167,False,0,0,950.0,1,,18685.756806731748
Solver_Bayesian_Adaptive,12345,168,False,0,0,105.0,0,2.0,2123.3794687497666
Solver_Bayesian_Adaptive,12345,169,False,0,0,105.0,0,2.0,2123.3794687496575
Solver_Bayesian_Adaptive,12345,170,False,0,0,160.0,0,2.0,2102.27946874819
Solver_Bayesian_Adaptive,12345,171,False,0,0,1005.0,1,,18272.285337983747
Solver_Bayesian_Adaptive,12345,172,False,0,0,190.0,0,4.0,6660.6297285525725
Solver_Bayesian_Adaptive,12345,173,False,0,0,185.0,0,3.0,3165.057437499422
Solver_Bayesian_Adaptive,12345,174,False,0,0,550.0,1,2.0,2536.850937500162
Solver_Bayesian_Adaptive,12345,175,False,0,0,560.0,0,,17980.464056734214
