experiment,run_idx,step_idx,ck_stage,technique_id,technique_name,action_success,detected,detect_prob,detection_delay,impact_minutes,attacker_belief_high_cap,nash_prob_chosen,discounted_payoff_step
Solver_Bayesian_Adaptive,28,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.9781968757457
Solver_Bayesian_Adaptive,28,5,Command & Control,T0884,Connection Proxy,False,False,0.11250000000000002,0,0,0.01,1.0,4290.252588622589
Solver_Bayesian_Adaptive,28,6,Actions on Objectives,T0882,Theft of Operational Information,True,True,0.17550000000000002,1,0,0.043478260869565216,1.0,4498.938792679269
Solver_Bayesian_Adaptive,29,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999943062,1028.6250000006053
Solver_Bayesian_Adaptive,29,1,Weaponization,T0820,Exploitation for Evasion,True,True,0.6615000000000001,1,0,0.35999999999999993,0.3333333333333333,957.3066874998576
Solver_Bayesian_Adaptive,30,0,Reconnaissance,T0887,Wireless Sniffing,True,False,0.08000000000000002,0,0,0.11111111111111108,0.3333333333333333,1387.6000000008587
Solver_Bayesian_Adaptive,30,1,Weaponization,T0818,Engineering Workstation Compromise,True,False,0.28350000000000003,0,0,0.015384615384615373,0.3333333333333333,1094.7544687496475
Solver_Bayesian_Adaptive,30,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499996538
Solver_Bayesian_Adaptive,30,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410548747
Solver_Bayesian_Adaptive,30,4,Installation,T1505.003,Server Software Component: Web Shell,False,True,0.162,1,0,0.043478260869565216,1.0,2794.9781968747975
Solver_Bayesian_Adaptive,31,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999990803
Solver_Bayesian_Adaptive,31,1,Weaponization,T0849,Masquerading,True,False,0.005250000000000001,0,0,0.015384615384615373,0.3333333333333333,1147.7911874993285
Solver_Bayesian_Adaptive,31,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500006088
Solver_Bayesian_Adaptive,31,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.424541054037
Solver_Bayesian_Adaptive,31,4,Installation,T1505.003,Server Software Component: Web Shell,False,False,0.162,0,0,0.01,1.0,2794.978196874928
Solver_Bayesian_Adaptive,31,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588623531
